index,freq,ganho_filt,phase_filt,atraso_ms
1,349.23,0.94882304887703,-19.5828772969913,-0.155762338231342
2,698.46,0.837238574138233,-35.9719935877037,-0.143060739928254
3,1047.69,0.729466654327937,-48.8716415424943,-0.129575122259697
4,1396.92,0.661076443260986,-60.1901373119509,-0.11968818963615
5,1746.15,0.663414544725898,-74.0106807697353,-0.117736290903059
6,2095.38,0.831076598700036,-105.203485011475,-0.139464871674661
7,2444.61,0.580871203311177,161.494668943156,0.183504241011809
8,2793.84,0.157072252299415,99.9029202978057,0.0993285628161774
9,3143.07,0.0830672174947874,45.3473705980404,0.0400770324325866
10,3492.3,0.075733607210956,6.60169713371659,0.00525099435720218
11,3841.53,0.0772185377640644,-24.5007282383996,-0.0177162688928627
12,4190.76,0.0927074410841385,-61.3125787270763,-0.0406400554282095
13,4539.99,0.153412283258288,-98.6589968061751,-0.0603641789752933
14,4889.22,0.307651313508792,-130.145433936899,-0.0739412614423494
15,5238.45,0.618915005995479,-165.649001849365,-0.0878382186044031
16,5587.68,0.906319913906005,148.280063839474,0.0737137893044631
17,5936.91,0.870507809027371,113.613205615242,0.0531576590886704
18,6286.14,0.775315596884598,95.281693674628,0.0421039574871719
19,6635.37,0.714252508136426,84.891015470817,0.0355380900097244
20,6984.6,0.679873912116781,78.1906023602573,0.0310964289533232
21,7333.83,0.661522239943126,73.4187538498535,0.0278082506570591
22,7683.06,0.652831256731624,69.7672483253607,0.0252240529183543
23,8032.29,0.650167125255651,66.8217277953152,0.0231087162618061
24,8381.52,0.651382809449426,64.3500256604143,0.0213266891063827
25,8730.75,0.655152226364522,62.2127772352363,0.0197936340059993
26,9079.98,0.660622353368672,60.3216565382371,0.0184538024368621
27,9429.21,0.667225252378092,58.6181732963414,0.0172684943019091
28,9778.44,0.674571965777582,57.0621582780155,0.0162097425782343
29,10127.67,0.68239000928109,55.6251567955355,0.0152566507826621
30,10476.9,0.690485084086266,54.2864621674924,0.0143931628862578
31,10826.13,0.698716794654938,53.0306418688641,0.0136066478533532
32,11175.36,0.70698276767391,51.845943992607,0.0128869683921212
33,11524.59,0.715207979114507,50.7232418677316,0.0122258487353591
34,11873.82,0.723337406663412,49.6553180154684,0.0116164333745885
35,12223.05,0.731330862402156,48.6363679250416,0.0110529713953559
36,12572.28,0.73915928941764,47.6616496383347,0.0105305856390087
37,12921.51,0.746802062730768,46.727232100001,0.0100451005296167
38,13270.74,0.754244992759942,45.8298116696212,0.00959291135352019
39,13619.97,0.761478828959771,44.9665764709129,0.00917088340603152
40,13969.2,0.768498125311104,44.1351048258988,0.00877627304393054
41,14318.43,0.775300371428745,43.3332883116103,0.00840666506802971
42,14667.66,0.781885321240974,42.5592728284852,0.00805992246216151
43,15016.89,0.788254470401032,41.8114129972329,0.00773414561078908
44,15366.12,0.794410646887844,41.0882365240437,0.00742763887985815
45,15715.35,0.800357688597416,40.3884160950071,0.00713888298436581
46,16064.58,0.80610018838424,39.7107470099912,0.00686651195258817
47,16413.81,0.811643291817757,39.0541292295994,0.00660929377788842
48,16763.04,0.816992536430055,38.4175528430931,0.00636611405593183
49,17112.27,0.822153723825504,37.8000862087876,0.00613596205932085
50,17461.5,0.82713281796073,37.2008661976626,0.00591791881785366
51,17810.73,0.831935864365051,36.6190901039669,0.00571114686109112
52,18159.96,0.836568926184415,36.0540088861534,0.0055148813479633
53,18509.19,0.841038033786722,35.5049214765667,0.00532842236096512
54,18858.42,0.845349145328329,34.9711699553371,0.00515112818384707
55,19207.65,0.849508116198089,34.4521354275573,0.00498240941435621
56,19556.88,0.853520675661084,33.9472344763897,0.00482172378955779
57,19906.11,0.857392409345262,33.455916090753,0.00466857162208446
58,20255.34,0.861128746469641,32.9776589864843,0.00452249176245818
59,20604.57,0.864734950917128,32.5119692557301,0.00438305801627316
60,20953.8,0.868216115419459,32.0583782918045,0.00424987595617826
61,21303.03,0.871577158254587,31.6164409466223,0.00412258007776127
62,21652.26,0.87482282196468,31.1857338856725,0.00400083125601266
63,22001.49,0.877957673690734,30.7658541117621,0.00388431446533875
64,22350.72,0.880986106791595,30.3564176337913,0.00377273673134856
65,22699.95,0.883912343474117,29.9570582608762,0.00366582528704495
66,23049.18,0.886740438209542,29.567426505413,0.00356332590976398
67,23398.41,0.88947428175118,29.1871885813439,0.00346500141834707
68,23747.64,0.892117605601396,28.8160254860611,0.0033706303126988
69,24096.87,0.894673986803213,28.4536321561665,0.00328000554015781
70,24446.1,0.897146852954467,28.0997166887728,0.00319293337505469
71,24795.33,0.899539487361193,27.753999621243,0.0031092323995019
72,25144.56,0.901855034262536,27.4162132632696,0.00302873257489996
73,25493.79,0.904096504072389,27.086101076035,0.00295127439488804
74,25843.02,0.906266778593748,26.7634170938916,0.00287670811154463
75,26192.25,0.908368616170706,26.4479253845905,0.0028048930275803
76,26541.48,0.910404656750418,26.139399544584,0.00273569684808082
77,26890.71,0.912377426833564,25.8376222263466,0.0026689950860711
78,27239.94,0.914289344296884,25.5423846950155,0.00260467051679502
79,27589.17,0.916142723075651,25.25348641196,0.00254261267615357
80,27938.4,0.917939777697374,24.9707346431482,0.00248271739922554
81,28287.63,0.919682627660912,24.6939440904054,0.00242488639521993
82,28636.86,0.92137330165754,24.4229365438552,0.00236902685558395
83,28986.09,0.923013741632405,24.1575405540021,0.00231505109232299
84,29335.32,0.924605806686355,23.8975911220628,0.00226287620388274
85,29684.55,0.926151276819425,23.6429294072833,0.00221242376620566
86,30033.78,0.927651856518181,23.393402450092,0.00216361954680622
87,30383.01,0.929109178189997,23.1488629100399,0.00211639323991708
88,30732.24,0.930524805447857,22.9091688175683,0.00207067822094324
89,31081.47,0.931900236249829,22.6741833387226,0.00202641131862691
90,31430.7,0.93323690589762,22.4437745520038,0.00198353260347401
91,31779.93,0.9345361898989,22.2178152366097,0.00194198519112619
92,32129.16,0.935799406698241,21.9961826713771,0.00190171505948154
93,32478.39,0.937027820281589,21.7787584437871,0.00186267087847464
94,32827.62,0.938222642659209,21.5654282684412,0.0018248038515231
